"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Ahmed, Saladin","","person","author","Taylor, Tom, 1978-, author [person] ; Ahmed, Saladin, author [person] ; Martinez, Alitha E., artist [person]","019600154","Monograph","Language material ; Still image ; Text","Volume","GBB9H9631","9781302914790","Miles Morales. Vol. 2","","Spider-man","","United States of America","New York","Marvel Worldwide","2020","","1 volume, chiefly illustrations, 26 cm","741.5","","Spider-Man, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Ahmed, Saladin","","person","author","Ward, Christian (Christian J.), artist [person] ; Ahmed, Saladin, author [person] ; Irving, Frazer, artist [person]","018828726","Monograph","Language material ; Still image ; Text","Volume","GBB865925","9781302907334","Home free","","Black Bolt","volume 2 [Black Bolt]","United States of America","New York","Marvel Worldwide","2018","","1 volume, chiefly illustrations, 26 cm","741.5","","","Science fiction","English",""
"Ahmed, Saladin","","person","author","Ward, Christian (Christian J.), artist [person] ; Ahmed, Saladin, author [person] ; Irving, Frazer, artist [person]","019600168","Monograph","Language material ; Still image ; Text","Volume","GBB9H9645","9781302921408","Black Bolt","","","","United States of America","New York","Marvel Worldwide","2020","","1 volume, chiefly illustrations, 28 cm","741.5","","Black Bolt, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Ahn, JiYoung","","person","artist","Ahn, JiYoung, artist [person] ; Kenyon, Sherrilyn, 1965-, author [person]","016333299","Monograph","Language material ; Still image ; Text","Volume","GBB393929","","The Dark-Hunters : infinity","Infinity","","","England","London","Orbit","2013-","First edition","volumes, chiefly illustrations (black and white and colour), 21 cm","741.5973","YK.2013.a.21079 ; YK.2014.a.4445","","Novel","English",""
"Ahn, Nancy","","person","illustrator","Poirier, Mark Jude, author [person] ; King, Owen, author [person] ; Ahn, Nancy, illustrator [person]","017445326","Monograph","Language material ; Still image ; Text","Volume","GBB594933","9781476763408","Intro to alien invasion","","","","United States of America","New York","Scribner","2015","First Scribner trade paperback edition","1 volume (unpaged), illustrations, 24 cm","741.5973","YKL.2017.a.767","","Novel","English",""
"Ahn, No Uhn","","person","","Oh, Rhe Bar Ghun [person] ; Ahn, No Uhn [person]","013270421","Monograph","Language material ; Text","Volume","GBA567810","9781596970939","Cafe occult","","","","England ; United States of America","Austin, Texas ; London","Diamond ; Infinity Studios","2005","","192 pages, chiefly illustrations, 18 cm","741.5","","","Fantasy ; Young adult fiction","English",""
"Ahn, No Uhn","","person","","Oh, Rhe Bar Ghun [person] ; Ahn, No Uhn [person]","013306768","Monograph","Language material ; Text","Volume","GBA584538","9781596970946","Cafe occult","","","","England ; United States of America","Austin, Texas ; London","Diamond ; Infinity Studios","2005","","192 pages, chiefly illustrations, 18 cm","741.5","","","Fantasy ; Young adult fiction","English",""
"Ahonen, Jaako","","person","author","Ahonen, Jaako, author [person] ; Ahonen, Lauri, artist [person]","016784484","Monograph","Language material ; Still image ; Text","Volume","GBB472046","9781616554699","Jaybird","","","","United States of America","Milwaukie","Dark Horse","2014","","1 volume, chiefly colour illustrations","741.5","","","Novel","English","Translated from the Finnish"
"Ahonen, Jp","","person","","Alare, Kalle-Pekka [person] ; Ahonen, Jp [person]","016801671","Monograph","Language material ; Still image ; Text","Volume","GBB477715","9781419713590 ; 9781419713606","Sing no evil","Perkeros. English","","","United States of America","New York","Abrams ComicArts","2014","","180 pages, colour illustrations, 24 cm","741.594897","YKL.2015.a.16797","","Comic or graphic novel ; Novel","English",""
"Ahonen, Jp","","person","artist ; author","Ahonen, Jp, artist ; author [person]","019132204","Monograph","Language material ; Still image ; Text","Volume","GBB8L3878","9781603094429","Belzebubs","","","","United States of America","San Diego","Top Shelf Productions","2018","","127 pages, chiefly colour illustrations, 18 cm","741.5941","","Heavy metal (Music)--Comic books, strips etc ; Comic books, strips, etc ; Occultism--Comic books, strips, etc","Comic or graphic novel","English",""
"Ahonen, Lauri","","person","artist","Ahonen, Jaako, author [person] ; Ahonen, Lauri, artist [person]","016784484","Monograph","Language material ; Still image ; Text","Volume","GBB472046","9781616554699","Jaybird","","","","United States of America","Milwaukie","Dark Horse","2014","","1 volume, chiefly colour illustrations","741.5","","","Novel","English","Translated from the Finnish"
"Ahrens, Jörn","","person","","Ahrens, Jörn [person] ; Meteling, Arno, 1972- [person]","015397510","Monograph","Language material ; Text","Volume","GBA9A2183","9780826403896 ; 9780826440198","Comics and the city : urban space in print, picture, and sequence","","","","England ; United States of America","London","Continuum","2010","","x, 278 pages, illustrations, 24 cm","741.5","YC.2010.a.8512 ; m10/.16302","City and town life in literature ; Comic books, strips, etc--History and criticism ; Mass media and culture","","English",""
"Ahrens, Jörn","","person","","Ahrens, Jörn [person] ; Meteling, Arno, 1972- [person]","019404409","Monograph","Language material ; Text","Online resource","GBB995437","9781282873902 ; 9781441130808","Comics and the city : urban space in print, picture, and sequence","","","","United States of America","New York","Continuum","2010","","1 online resource (x, 278 pages), illustrations","741.5","ELD.DS.422591","Comic books, strips, etc--History and criticism ; Fine Arts ; Stadtleben ; Stadt (Motiv) ; Stadtleben (Motiv) ; City and town life in literature ; Mass media and culture ; HUMOR--General","Criticsm and interpretation","English",""
"Ai, Yazama","","person","","Kujiradō̄, Misaho [person] ; Ai, Yazama [person] ; Love, Courtney, 1964- [person]","015660464","Monograph","Language material ; Text","Volume","GBB0B7532","9781427807281","Princess Ai","","","","England ; United States of America","London ; Los Angeles, California","Tokyopop","2010","","1 volume, chiefly illustrations","741.5952","","Kujiradō̄, Misaho--Translations into English ; Princess Ai (Fictitious character)--Comic books, strips, etc--Fiction ; Graphic novels ; Young adult fiction, Japanese--Translations into English","Comic or graphic novel ; Fiction ; Translations into English","English",""
"Aiala, Salvatore","","person","","Bowland, Simon [person] ; Casas, Fritz, artist [person] ; Rodi, Robert, author [person] ; Ross, Alex, 1970-, artist [person] ; Kirby, Jack [person] ; Aiala, Salvatore [person]","017912313","Monograph","Language material ; Still image ; Text","Volume","GBB691374","9781524100322","Kirby: Genesis. Dragonsbane","Dragonsbane","","","United States of America","Mount Laurel, New Jersey","Dynamite Entertainment","2016","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5973","YKL.2017.b.5378","Graphic novels","Fantasy","English","'Contains materials originally published in Kirby: Genesis - Dragonsbane #1-4.' ; 'Rated T+ suggested for teens and up'--Back cover"
