"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Albuquerque, Alberto J.","","person","artist","Bunn, Cullen, author [person] ; Coello, Iban, artist [person] ; Albuquerque, Alberto J., artist [person]","019584028","Monograph","Language material ; Still image ; Text","Volume","GBB9H4361","9781846539862","The war of the realms","","Venom","4 [Venom]","England","Tunbridge Wells, Kent","Panini Publishing","2019","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5","","Venom, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Albuquerque, Alberto J.","","person","artist","Tobin, Paul, 1965-, author [person] ; Louise, Marissa [person] ; Albuquerque, Alberto J., artist [person]","017835046","Monograph","Language material ; Still image ; Text","Volume","GBB661583","9781616559595","Mystery Girl. Volume 1","","","","United States of America","Milwaukie","Dark Horse","2016","","1 volume, chiefly colour illustrations, 26 cm","741.5","","","Detective and mystery","English",""
"Albuquerque, Rafael","1981-","person","","Albuquerque, Rafael, 1981- [person] ; King, Stephen, 1947- [person] ; Snyder, Scott [person]","015583939","Monograph","Language material ; Text","Volume","GBB075789","9780857680310","American vampire","","","","England","London","Titan","2010","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Vampires--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Horror","English",""
"Albuquerque, Rafael","1981-","person","","Albuquerque, Rafael, 1981- [person] ; Snyder, Scott [person]","015781005","Monograph","Language material ; Text","Volume","GBB140668","9780857685124 ; 9781401230692","American vampire. Volume two","","","","United States of America","New York","DC Comics","2011","","1 volume (unpaged), chiefly colour illustrations, 27 cm","741.5973","YK.2011.b.12254","Vampires--Comic books, strips, etc ; Nineteen twenties--Comic books, strips, etc ; Hollywood (Los Angeles, Calif.)--Comic books, strips, etc","Comic or graphic novel","English","'Originally published in single magazine form as American Vampire #6-11'--T.p. verso"
"Albuquerque, Rafael","1981-","person","","Albuquerque, Rafael, 1981- [person] ; Snyder, Scott [person]","016020022","Monograph","Language material ; Text","Volume","GBB209677","9780857685131","American vampire. Volume 2","","","","England","London","Titan","2012","","1 volume, chiefly colour illustrations, 26 cm","741.5","","Vampires--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Horror","English",""
"Albuquerque, Rafael","1981-","person","","Albuquerque, Rafael, 1981- [person] ; Snyder, Scott [person]","016103536","Monograph","Language material ; Text","Volume","GBB257683","9781401233341 ; 9781781165034","American vampire. Volume 3","","","","England","London","Titan","2012","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5","","World War, 1939-1945--Japan--Comic books, strips, etc--Fiction ; Vampires--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Horror","English",""
"Albuquerque, Rafael","1981-","person","","Albuquerque, Rafael, 1981- [person] ; Snyder, Scott [person]","016103537","Monograph","Language material ; Text","Volume","GBB257684","9781781165041","American vampire. Volume 4","","","","England","London","Titan","2012","","1 volume, chiefly colour illustrations, 26 cm","741.5","","West (U.S.)--History--Comic books, strips, etc--Fiction ; Vampires--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Horror","English",""
"Albuquerque, Rafael","1981-","person","","Brandon, Ivan [person] ; Peter, Cris [person] ; Santolouco, Mateus, 1979- [person] ; Chu, Charlie [person] ; Jones, James Lucas [person] ; Albuquerque, Rafael, 1981- [person] ; Medeiros, Eduardo [person]","015650970","Monograph","Language material ; Text","Volume","GBB160908","","Mondo Urbano : a sex, drugs and rock'n'roll story","","","","United States of America","Portland, Oregon","Oni Press","2010-","","volumes, chiefly illustrations, 23 cm","741.5973","YK.2011.a.18372","Rock musicians--Comic books, strips, etc","Comic or graphic novel ; Novel","English",""
"Albuquerque, Rafael","1981-","person","","Murphy, Sean Gordon, 1980- [person] ; Albuquerque, Rafael, 1981- [person] ; Žeželj, Danijel [person] ; Snyder, Scott [person]","015974602","Monograph","Language material ; Text","Volume","GBB1D4627","9781401233334 ; 9781781160251","American vampire. Volume three","","","","United States of America","New York","DC Comics","2012","","1 volume (unpaged), chiefly colour illustrations, 27 cm","741.5973","YK.2012.b.3845","Romania--Comic books, strips, etc ; Vampires--Comic books, strips, etc ; World War, 1939-1945--Comic books, strips, etc ; Nineteen forties--Comic books, strips, etc","Comic or graphic novel","English","'American Vampire created by Scott Snyder and Rafael Albuquerque.' ; 'Originally published in single magazine form as American vampire 12-18 and American vampire : survival of the fittest 1-5'--T.p. verso ; 'Vertigo'--Spine"
"Albuquerque, Rafael","1981-","person","","Snyder, Scott [person] ; Albuquerque, Rafael, 1981- [person] ; Bernet, Jordi [person] ; Burchielli, Riccardo [person] ; Cruz, Roger [person]","016247428","Monograph","Language material ; Text","Volume","GBB348954","9781401237189","American vampire. Volume four","","","","United States of America","New York","DC Comics","2012","","1 volume (unpaged), chiefly colour illustrations, 27 cm","741.5973","YK.2013.b.5878","Vampires--Comic books, strips, etc","Comic or graphic novel","English","'Originally published in single magazine form in American Vampire 19-27'--T.p. verso ; 'Vertigo'--Spine"
"Albuquerque, Rafael","1981-","person","","Snyder, Scott [person] ; Albuquerque, Rafael, 1981- [person] ; King, Stephen, 1947- [person] ; Wands, Steve [person] ; McCaig, Dave [person]","015860259","Monograph","Language material ; Text","Volume","GBB191411","9780857680327 ; 9781401228309 ; 9781401229740","American vampire","","","","United States of America","New York","DC Comics","2010","","1 volume (unpaged), chiefly illustrations (chiefly colour), 26 cm","741.5973","YK.2011.b.15726","Vampires--Comic books, strips, etc ; Nineteen twenties--Comic books, strips, etc ; Hollywood (Los Angeles, Calif.)--Comic books, strips, etc","Comic or graphic novel ; Novel","English","'American vampire created by Scott Synder.' ; 'Originally published in single magazine form as American vampire 1-5'--T.p. verso ; 'Suggested for mature readers'--Back cover ; 'Vertigo'--Spine"
"Albuquerque, Rafael","1981-","person","artist","Albuquerque, Rafael, 1981-, artist [person] ; Bernet, Jordi, artist [person] ; Snyder, Scott, author [person]","016448906","Monograph","Language material ; Still image ; Text","Volume","GBB359514","9781401237196","American vampire. Volume 4","","","","United States of America","New York","DC Comics","2013","","1 volume, chiefly illustrations, 26 cm","741.5","","West (U.S.)--History--Comic books, strips, etc--Fiction ; Vampires--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Horror","English",""
"Albuquerque, Rafael","1981-","person","artist","Albuquerque, Rafael, 1981-, artist [person] ; Nguyen, Dustin, artist [person] ; Snyder, Scott, author [person]","016608865","Monograph","Language material ; Still image ; Text","Volume","GBB408448","9781401237714","American vampire. Volume 5","","","","United States of America","New York","DC Comics","2014","","1 volume (unpaged), chiefly colour illustrations","741.5","","","Fantasy","English",""
"Albuquerque, Rafael","1981-","person","artist","Albuquerque, Rafael, 1981-, artist [person] ; Snyder, Scott, author [person]","016608869","Monograph","Language material ; Still image ; Text","Volume","GBB408452","9781401247089","American Vampire. Volume six","","","","United States of America","New York","DC Comics","2014","","1 volume (unpaged), chiefly illustrations (black and white and colour), 27 cm","741.5973","YKL.2014.b.1739","Vampires--Comic books, strips, etc ; COMICS & GRAPHIC NOVELS / Horror","Comic or graphic novel ; Horror","English","'American vampire created by Scott Snyder and Rafael Albuquerque .' ; 'Originally published in single magazine form as AMERICAN VAMPIRE: LONG ROAD HOME 1, AMERICAN VAMPIRE ANTHOLOGY 1.'"
"Albuquerque, Rafael","1981-","person","artist","Albuquerque, Rafael, 1981-, artist [person] ; Snyder, Scott, author [person]","017532547","Monograph","Language material ; Still image ; Text","Volume","GBB5C0345","9781401254322","American Vampire. Volume 7","","","","United States of America","New York","Vertigo","2015","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5","","","Horror","English",""
"Albuquerque, Rafael","1981-","person","artist","Albuquerque, Rafael, 1981-, artist [person] ; Snyder, Scott, author [person]","017652921","Monograph","Language material ; Still image ; Text","Volume","GBB5H4648","9781401254339","American vampire. Volume 8","","","","United States of America","Burbank, California","DC Comics","2016","","approximately 145 pages, colour illustrations, 27 cm","741.5973","YKL.2017.b.3580","","Fantasy","English","'Originally published in single magazine form in American Vampire: Second Cycle 6-11'--title page verso"
"Albuquerque, Rafael","1981-","person","artist","Albuquerque, Rafael, 1981-, artist [person] ; Snyder, Scott, author [person]","018666077","Monograph","Language material ; Still image ; Text","Volume","GBB801308","9781401277260","The first ally","","All star Batman","3 [All star Batman]","United States of America","Burbank, California","DC Comics","2018","","1 volume, chiefly illustrations, 26 cm","741.5","","Batman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Albuquerque, Rafael","1981-","person","artist","Albuquerque, Rafael, 1981-, artist [person] ; Snyder, Scott, author [person]","018988107","Monograph","Language material ; Still image ; Text","Volume","GBB8D6691","9781401284305","The first ally (rebirth)","","All star Batman","3 [All star Batman]","United States of America","Burbank, California","DC Comics","2018","","1 volume, chiefly illustrations, 26 cm","741.5","","Batman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Albuquerque, Rafael","1981-","person","artist","Boose, Nicole, editor [person] ; Millar, Mark, author [person] ; Albuquerque, Rafael, 1981-, artist [person]","017912495","Monograph","Language material ; Still image ; Text","Volume","GBB691556","9781534300002 ; 9781632157294 ; 9781632159182 ; 9781632159687","Huck. Book 1. All-American","All-American","","","United States of America","Berkeley, California","Image Comics","2016","","1 volume (unpaged), illustrations (black and white and colour), 26 cm","741.59411","YKL.2017.b.5564","","Science fiction","English","'Originally published in single magazine form as Huck 1-6'--Title page verso"
"Albuquerque, Rafael","1981-","person","artist","Fairbairn, Nathan [person] ; Sienty, Dezi [person] ; Plascencia, Fco [person] ; Starkings, Richard [person] ; Brosseau, Pat [person] ; Albuquerque, Rafael, 1981-, artist [person] ; Glapion, Jonathan [person] ; Tynion, James, iv, author [person] ; Betancourt, Jimmy [person] ; Capullo, Greg [person] ; McCaig, Dave [person] ; Snyder, Scott, author [person]","017532568","Monograph","Language material ; Still image ; Text","Volume","GBB5C0366","9781401259105","Absolute Batman the Court of Owls","Batman the court of owls ; Court of owls","","","United States of America","Burbank, California","DC Comics","2015","","1 volume (unpaged), colour illustrations, 32 cm","741.5973","YKL.2017.b.1085","COMICS & GRAPHIC NOVELS / Superheroes ; Batman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English",""
"Albuquerque, Rafael","1981-","person","artist","Fletcher, Jared K. [person] ; Kalisz, John [person] ; Albuquerque, Rafael, 1981-, artist [person] ; Nguyen, Dustin, artist [person] ; Wands, Steve [person] ; McCaig, Dave [person] ; Snyder, Scott, author [person]","016215243","Monograph","Language material ; Still image ; Text","Volume","GBB2B7266","9781401237707","American vampire. Volume five","American vampire. Volume 5","","","United States of America","New York","DC Comics","2013","","1 volume (unpaged), chiefly colour illustrations, 27 cm","741.5973","YK.2013.b.13729","Vampires--Comic books, strips, etc ; Horror comic books, strips, etc","Comic or graphic novel","English","'Originally published in single magazine form in American Vampire 28-34, American Vampire: Lord of Nightmares 1-5.' ; 'Suggested for mature readers'--Jacket ; 'Vertigo'--Spine"
"Albuquerque, Rafael","1981-","person","artist","Glapion, Jonathan, artist [person] ; Albuquerque, Rafael, 1981-, artist [person] ; Tynion, James, iv, author [person] ; Fabok, Jay, artist [person] ; Capullo, Greg, artist [person] ; Snyder, Scott, author [person]","016219473","Monograph","Language material ; Still image ; Text","Volume","GBB2B9916","9781401237776 ; 9781401237783","Batman. Volume 2. The City of Owls","City of Owls","","","United States of America","New York","DC Comics","2013","","1 volume (unpaged), chiefly colour illustrations, 27 cm","741.5973","YK.2013.b.12558","","Comic or graphic novel","English","'Batman created by Bob Kane.' ; 'Originally published in single magazine form in Batman 8-12, Batman Annual 1' -- Title page verso"
"Albuquerque, Rafael","1981-","person","artist","Hamboussi, Peter, editor [person] ; Albuquerque, Rafael, 1981-, artist [person] ; Snyder, Scott, author [person]","016885452","Monograph","Language material ; Still image ; Text","Volume","GBB4A6369","9781401249298","American Vampire. Volume six","","","","United States of America","New York","DC Comics","2014","","approximately 144 pages, illustrations (black and white and colour), 26 cm","741.5973","YKL.2016.b.2329","","Fantasy","English","'American Vampire created by Scott Snyder and Rafael Albuquerque.' ; 'American vampire volume 6 collects The long road to Hell #1 and American vampire anthology #1'--Cover ; 'Originally published in single magazine form in American vampire: The long road to Hell 1, American vampire anthology 1--Title page verso.'"
"Albuquerque, Rafael","1981-","person","artist","Johnson, Mike, author [person] ; Albuquerque, Rafael, 1981-, artist [person]","017486897","Monograph","Language material ; Still image ; Text","Volume","GBB5B0153","9781616556372","Ei8ht","Eight","","","United States of America","Milwaukie","Dark Horse","2015","","1 volume, chiefly colour illustrations","741.5","","","Science fiction","English",""
"Albuquerque, Rafael","1981-","person","artist","McCaig, Dave [person] ; Bennett, Deron [person] ; Larson, Hope, author [person] ; Albuquerque, Rafael, 1981-, artist [person]","018171032","Monograph","Language material ; Still image ; Text","Volume","GBB703901","9781401268404 ; 9781401276379","Beyond Burnside","","Batgirl ; Rebirth","volume 1 [Batgirl]","United States of America","Burbank, California","DC Comics","2017","","1 volume (unpaged), colour illustrations, 26 cm","741.5973","YKL.2018.b.2442","Batgirl, (Fictitious character)--Comic books, strips, etc--Fiction ; COMICS & GRAPHIC NOVELS / Superheroes","Comic or graphic novel ; Fiction","English","'Batman created by Bob Kane with Bill Finger' ; 'Originally published in single magazine form in BATGIRL 1-6'--Title page verso"
"Albuquerque, Rafael","1981-","person","artist","Miki, Danny, artist [person] ; Albuquerque, Rafael, 1981-, artist [person] ; Tynion, James, iv, author [person] ; Capullo, Greg, artist [person] ; Snyder, Scott, author [person]","016643461","Monograph","Language material ; Still image ; Text","Volume","GBB424713","9781401245085 ; 9781401249335","Batman. Volume 4. Zero Year-Secret City","Zero Year-Secret City","The new 52!","","United States of America","New York","DC Comics","2014","","1 volume (unpaged), chiefly illustrations (black and white and colour), 27 cm","741.5973","YKL.2016.b.2462","Batman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English","'Batman created by Bob Kane.' ; 'Originally published in single magazine form as Batman 21-24 and Batman zero year: the director's cut #1'--Title page verso"
"Albuquerque, Rafael","1981-","person","artist","Morales, Rags, artist [person] ; Green, Michael (Michael J.), author [person] ; Albuquerque, Rafael, 1981-, artist [person]","018214542","Monograph","Language material ; Still image ; Text","Volume","GBB717612","9781401265281","Superman/Batman. Volume 5","","","","United States of America","Burbank, California","DC Comics","2017","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5973","YKL.2018.b.2741","Batman, (Fictitious character)--Comic books, strips, etc--Fiction ; Superman, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English","'Batman created by Bob Kane with Bill Finger ; Superman created by Jerry Siegel and Joe Shuster ; Supergirl based on characters created by Jerry Siegel and Joe Shuster.' ; 'Originally published in single magazine form in Superman/Batman 50-63 and Superman/Batman annual 3'--Title page verso"
"Albuquerque, Rafael","1981-","person","artist","Netflix (Firm) [organisation] ; Maiolo, Marcelo [person] ; Albuquerque, Rafael, 1981-, artist [person] ; Doherty, Peter, 1965- [person] ; Millar, Mark, writer [person]","019428306","Monograph","Language material ; Still image ; Text","Volume","GBB9A1848","9781534312364","Prodigy. The evil earth","Evil earth","Prodigy","1 [Prodigy]","United States of America","Portland, Oregon","Image Comics","2019","","1 volume (unpaged), colour illustrations, 26 cm","741.5973","YKL.2020.b.2338","Billionaires ; Espionage ; Conspiracies ; African American men ; Gifted persons","Comic or graphic novel","English","''Prodigy', its logos, and the likenesses of all characters herein are trademarks of Netflix Entertainment, LLC, unless otherwise noted.' ; 'Contains material originally published in single magazine form as Prodigy #1-6.'"
"Albuquerque, Rafael","1981-","person","artist","Robins, Clem, 1955-, artist [person] ; Mignola, Michael, author [person] ; Albuquerque, Rafael, 1981-, artist [person] ; Crook, Tyler, artist [person] ; Allie, Scott, editor [person] ; Stewart, Dave, artist [person] ; Arcudi, John, author [person]","016621940","Monograph","Language material ; Still image ; Text","Volume","GBB413846","9781616554026","B.P.R.D. Hell on Earth. Volume 8. Lake of fire","Lake of fire ; Mike Mignola's B.P.R.D. Hell on Earth. Volume 8. Lake of fire","","","United States of America","Milwaukie, Oregon","Dark Horse","2014","First edition April 2014","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5973","YKL.2015.b.309","Hellboy, (Fictitious character from Mignola)--Comic books, strips, etc","Comic or graphic novel ; Fantasy","English","'From the pages of Hellboy'--Cover ; 'This book collects the comic book series B.P.R.D. Hell on Earth #110-#114, originally published by Dark Horse Comics'--Title page verso"
"Albuquerque, Rafael","1981-","person","artist","Scavone, Rafael, author [person] ; Albuquerque, Rafael, 1981-, artist [person]","019158878","Monograph","Language material ; Still image ; Text","Volume","GBB8M7543","9781534310391","Hit-Girl : Rome. Volume 3","","","","United States of America","Berkeley","Image Comics","2019","","1 volume (unpaged)","741.5","","Canada--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Suspense","English",""
"Albuquerque, Rafael","1981-","person","artist","Scavone, Rafael, author [person] ; Albuquerque, Rafael, 1981-, artist [person]","020025050","Monograph","Language material ; Still image ; Text","Volume","GBC0I8034","9781506717173","Hidden society","","","","United States of America","Milwaukie","Dark Horse","2020","","1 volume, chiefly illustrations, 26 cm","741.5","","","Fantasy","English",""
"Albuquerque, Rafael","1981-","person","artist","Wands, Steve, artist [person] ; Albuquerque, Rafael, 1981-, artist [person] ; McCaig, Dave, artist [person] ; Snyder, Scott, author [person]","017834269","Monograph","Language material ; Still image ; Text","Volume","GBB660806","9781401262587","American vampire. Volume eight","","","","United States of America","Burbank, California","DC Comics","2016","","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5973","YKL.2017.b.5377","","Fantasy","English","'American Vampire created by Scott Snyder and Rafael Albuquerque.' ; 'Originally published in single magazine form in American vampire: second cycle 6-11'--Title page verso ; 'Vertigo'--Cover"
"Albuquerque, Rafael","1981-","person","author ; illustrator","Layno, Kathryn, illustrator [person] ; Milligan, Peter, author [person] ; Mishkin, Daniel, author [person] ; Temofonte, Saida [person] ; Zub, Jim, author [person] ; Lokus, Rex, illustrator [person] ; Seeley, Tim, author [person] ; Williams, Freddie E., 1977-, illustrator [person] ; Jenkins, Paul, 1965-, author [person] ; Googe, Neil, illustrator [person] ; Burchielli, Riccardo, illustrator [person] ; Mandrake, Tom, 1956-, illustrator [person] ; Francia, Omar, illustrator [person] ; McCaig, Dave, illustrator [person] ; Albuquerque, Rafael, 1981-, author ; illustrator [person] ; Broome, Wendy, illustrator [person]","016890876","Monograph","Language material ; Still image ; Text","Volume","GBB4B3647","9781401248154","Batman : Legends of the Dark Knight. Volume 3","","","","United States of America","New York","DC Comics","2014","","1 volume (unpaged), colour illustrations, 26 cm","741.5973","YKL.2016.b.2906","COMICS & GRAPHIC NOVELS / Superheroes","Comic or graphic novel ; Novel","English","'Batman created by Bob Kane.'"
"Albuquerque, Rafael","1981-","person","author","Albuquerque, Rafael, 1981-, author [person] ; Larson, Hope, author [person]","018459548","Monograph","Language material ; Still image ; Text","Volume","GBB7D6569","9781401274245","Son of Penguin","","Batgirl ; Rebirth","volume 2 [Batgirl]","United States of America","Burbank, California","DC Comics","2017","","1 volume, chiefly illustrations","741.5","","Batgirl, (Fictitious character)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Science fiction","English",""
"Albuquerque, Rafael","1981-","person","illustrator","Bergara, Matías, 1984-, illustrator [person] ; Albuquerque, Rafael, 1981-, illustrator [person] ; Snyder, Scott, author [person]","016946765","Monograph","Language material ; Still image ; Text","Volume","GBB4D0340","9781401248826","American Vampire. Volume seven","","","","United States of America","New York","DC Comics ; Vertigo","2015","","1 volume (unpaged), colour illustrations, 27 cm","741.5973","YKL.2016.b.3507","Vampires--Comic books, strips, etc ; COMICS & GRAPHIC NOVELS / Horror","Comic or graphic novel ; Horror ; Novel","English",""
"Albuquerque, Rafael","1981-","person","illustrator","Lemire, Jeff, author [person] ; Hamner, Cully, illustrator [person] ; Albuquerque, Rafael, 1981-, illustrator [person] ; Foreman, Travel, illustrator [person]","016863096","Monograph","Language material ; Still image ; Text","Volume","GBB496992","9781401249946","Animal Man. Volume 5. Evolve or die!","Evolve or die!","The New 52!","","United States of America","New York","DC Comics","2014","","1 volume (unpaged), colour illustrations, 26 cm","741.5973","YKL.2015.b.5845","COMICS & GRAPHIC NOVELS / Superheroes","Comic or graphic novel ; Novel","English",""
"Albuquerque, Rafael","1981-","person","illustrator","Peter, Cris, illustrator [person] ; Cosby, Andrew, author ; writer [person] ; Dukeshire, Ed, illustrator [person] ; Stokes, Johanna, author [person] ; Albuquerque, Rafael, 1981-, illustrator [person] ; Brill, Ian, editor [person]","016684101","Monograph","Language material ; Still image ; Text","Volume","GBB439117","9781608863877","The Savage Brothers","","","","United States of America","Los Angeles, California","Boom! Studios","2014","Deluxe edition","1 volume (unpaged), chiefly colour illustrations, 26 cm","741.5973","YKL.2016.b.1926","Graphic novels ; Science fiction comic books, strips, etc ; Savage Brothers (Fictitious characters)","Science fiction","English",""
"Albuquerque, Telênia","","person","artist","Pamfil, Xenia, artist [person] ; Whitley, Jeremy, author [person] ; D'Andria, Nicole, editor [person] ; Albuquerque, Telênia, artist [person]","019601162","Monograph","Language material ; Still image ; Text","Volume","GBB9I0639","9781632295118","The black fort and the golden queen","","Princeless. Raven the pirate princess","9 [Princeless. Raven the pirate princess]","United States of America","Ashland","Action Lab Entertainment","2020","","1 volume (unpaged), chiefly illustrations","741.5","","","Children's fiction","English",""
"Albuquerque, Telênia","","person","artist","Whitley, Jeremy, author [person] ; D'Andria, Nicole, editor [person] ; Albuquerque, Telênia, artist [person] ; Pamfil, Xenia, artist [person] ; Lexillo [person] ; Hipp, Christine, artist [person]","019454105","Monograph","Language material ; Still image ; Text","Volume","GBB9B7007","9781632294883","Princeless : Raven the pirate princess. Book 7. Afterglow and aftermath","","","","United States of America","Ashland","Action Lab Entertainment","2019","","1 volume (unpaged), chiefly illustrations","741.5","","Xingtao, Raven, (Fictitious character)--Comic books, strips, etc--Juvenile fiction","Children's fiction ; Comic or graphic novel","English",""
"Alburquerque, Alberto Jiménez","","person","artist","Alburquerque, Alberto Jiménez, artist [person] ; Soule, Charles, author [person]","016714910","Monograph","Language material ; Still image ; Text","Volume","GBB451426","9781620101339","Letter 44. Volume 1. Escape velocity","","","","United States of America","Portland","Oni Press","2014","","148 pages, chiefly colour illustrations, 26 cm","741.5","YKL.2016.b.4089","","Science fiction","English",""
"Alburquerque, Alberto Jiménez","","person","artist","Alburquerque, Alberto Jiménez, artist [person] ; Soule, Charles, author [person]","018000806","Monograph","Language material ; Still image ; Text","Volume","GBB6C4360","9781620103555","Letter 44. Volume IV. Saviors","Saviors","","","United States of America","Portland, Oregon","Oni Press","2017","","149 pages, chiefly colour illustrations, 26 cm","741.5973","YKL.2019.b.574","","Comic or graphic novel ; Science fiction","English","'This volume collects issues 22-27 of the Oni Press series Letter 44'--Title page verso"
"Alburquerque, Alberto Jiménez","","person","artist","Alburquerque, Alberto Jiménez, artist [person] ; Soule, Charles, author [person]","018215557","Monograph","Language material ; Still image ; Text","Volume","GBB718627","9781620103883","Letter 44. Volume 1. Escape velocity","","","","United States of America","Portland, Oregon","Oni Press","2017","","148 pages, chiefly colour illustrations, 26 cm","741.5973","YKL.2018.b.3025","","Science fiction","English",""
"Alburquerque, Alberto Jiménez","","person","artist","Herrera, Robin, editor [person] ; Alburquerque, Alberto Jiménez, artist [person] ; Soule, Charles, author [person]","017010538","Monograph","Language material ; Still image ; Text","Volume","GBB505670","9781620102060","Letter 44. Volume 2. Redshift","Letter forty-four ; Redshift","","","United States of America","Portland, Oregon","Oni Press","2015","First edition","148 pages, colour illustrations, 26 cm","741.5973","YKL.2017.b.393","","Science fiction","English","'This volume collects issues 8-13 of the ONI Press series, Letter 44'--Title page verso"
"Alburquerque, Alberto Jiménez","","person","artist","Herrera, Robin, editor [person] ; Alburquerque, Alberto Jiménez, artist [person] ; Soule, Charles, author [person]","017603990","Monograph","Language material ; Still image ; Text","Volume","GBB5F9217","9781620102725","Dark matter","","Letter 44","","United States of America","Portland, Oregon","Oni Press","2016","First edition","148 pages, chiefly colour illustrations, 26 cm","741.5","YKL.2017.b.3349","","Science fiction","English",""
"Alburquerque, Alberto Jiménez","","person","artist","Herrera, Robin, editor [person] ; Alburquerque, Alberto Jiménez, artist [person] ; Soule, Charles, author [person]","018666980","Monograph","Language material ; Still image ; Text","Volume","GBB802211","9781620104682","The end","","Letter 44","","United States of America","Portland, Oregon","Oni Press","2018","First edition","145 pages, colour illustrations, 26 cm","741.5","YKL.2020.b.331","","Comic or graphic novel","English",""
"Alburquerque, Alberto Jiménez","","person","artist","Jackson, Dan, 1971-, artist [person] ; Alburquerque, Alberto Jiménez, artist [person] ; Soule, Charles, author [person]","019115676","Monograph","Language material ; Still image ; Text","Volume","GBB8K2738","9781620105702","Letter 44. Book 2","","","","United States of America","Portland","Oni Press","2019","Deluxe edition","327 pages, chiefly colour illustrations, 34 cm","741.5","","","Science fiction","English",""
"Alburquerque, Alberto Jiménez","","person","artist","Jackson, Dan, 1971-, artist [person] ; Alburquerque, Alberto Jiménez, artist [person] ; Soule, Charles, author [person]","019469939","Monograph","Language material ; Still image ; Text","Volume","GBB9C4826","9781620105689","Letter 44. Vol. 3","","","","United States of America","Portland","Oni Press","2019","Deluxe edition","304 pages","741.5","","","Science fiction","English",""
"Alburquerque, Alberto Jiménez","","person","artist","Jackson, Dan, 1971-, artist [person] ; Major, Guy, artist [person] ; Alburquerque, Alberto Jiménez, artist [person] ; Soule, Charles, author [person]","018863065","Monograph","Language material ; Still image ; Text","Volume","GBB885568","9781620105177","Letter 44. Book one","","","","United States of America","Portland, Oregon","Oni Press","2018","Deluxe edition","367 pages, chiefly illustrations (black and white and colour), 34 cm","741.5973","YKL.2019.b.4655","Extraterrestrial beings--Comic books, strips, etc ; Astronauts--Comic books, strips, etc ; Presidents--United States--Comic books, strips, etc","Comic or graphic novel ; Science fiction","English",""
"Alburquerque, Alberto Jiménez","","person","artist","Mutti, Andrea, 1973-, artist [person] ; Michael, Joseph A., author [person] ; Birks, Simon, author [person] ; Ienco, Raffaele, artist [person] ; Tran, Donny, artist [person] ; Schmidt, Mark, author [person] ; Alburquerque, Alberto Jiménez, artist [person] ; Griffoni, Carlos, author [person] ; Rojo, Atilio, artist [person]","019877257","Monograph","Language material ; Still image ; Text","Volume","GBC0A8655","9781534317024","Stairway anthology","","","","United States of America","Berkeley","Image Comics","2020","","1 volume (unpaged), chiefly illustrations, 26 cm","741.5973","","Science fiction comic books, strips, etc","","English",""
